Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1454957,-,-,-,43,-110.39,0,2469,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,0,-15.100000000000001,1.27,0.016,0.63,0,0,0,0,0,-15.9,0,0,0,0,0.362,93.38,91.32000000000001,0.92,0.8,758,0.2,276,1.1
2018,1,1,0,30,-15.8,1.27,0.016,0.63,0,0,0,0,0,-15.9,0,0,0,0,0.362,98.95,96.14,0.92,0.8,758,0.2,273,1.1
2018,1,1,1,0,-16.5,1.28,0.016,0.63,0,0,0,0,0,-17.3,0,0,0,0,0.361,93.72,101.17,0.93,0.8,758,0.2,270,1.1
2018,1,1,1,30,-17,1.28,0.016,0.63,0,0,0,0,0,-17.3,0,0,0,0,0.361,97.74000000000001,106.36,0.93,0.8,758,0.2,269,1.1
2018,1,1,2,0,-17.400000000000002,1.29,0.016,0.63,0,0,0,0,1,-18.400000000000002,0,0,0,0,0.361,92.11,111.67,0.93,0.8,758,0.2,268,1
2018,1,1,2,30,-17.6,1.29,0.016,0.63,0,0,0,0,0,-18.400000000000002,0,0,0,0,0.362,93.68,117.08,0.93,0.8,758,0.2,260,0.9
2018,1,1,3,0,-17.7,1.29,0.015,0.63,0,0,0,0,0,-19.1,0,0,0,0,0.362,89.07000000000001,122.54,0.93,0.8,759,0.2,253,0.8
2018,1,1,3,30,-17.8,1.29,0.015,0.63,0,0,0,0,1,-19.1,0,0,0,0,0.362,89.83,128.02,0.92,0.8,759,0.2,233,0.7000000000000001
2018,1,1,4,0,-17.900000000000002,1.29,0.013000000000000001,0.63,0,0,0,0,0,-19.8,0,0,0,0,0.362,85.41,133.47,0.92,0.8,759,0.2,214,0.6000000000000001
2018,1,1,4,30,-18,1.29,0.013000000000000001,0.63,0,0,0,0,0,-19.8,0,0,0,0,0.362,86.14,138.84,0.91,0.8,759,0.2,202,0.7000000000000001
2018,1,1,5,0,-18.1,1.28,0.011,0.63,0,0,0,0,0,-20.6,0,0,0,0,0.361,80.41,144.04,0.9,0.8,759,0.2,190,0.7000000000000001
2018,1,1,5,30,-18,1.28,0.011,0.63,0,0,0,0,0,-20.6,0,0,0,0,0.361,79.73,148.95000000000002,0.9,0.8,759,0.2,190,0.8
2018,1,1,6,0,-17.900000000000002,1.26,0.01,0.63,0,0,0,0,0,-21.700000000000003,0,0,0,0,0.36,72.43,153.37,0.9,0.8,759,0.2,189,0.9
2018,1,1,6,30,-17.8,1.26,0.01,0.63,0,0,0,0,0,-21.700000000000003,0,0,0,0,0.358,71.82000000000001,156.98,0.9,0.8,759,0.2,192,0.9
2018,1,1,7,0,-17.7,1.26,0.01,0.63,0,0,0,0,0,-22.6,0,0,0,0,0.357,65.43,159.34,0.9,0.8,759,0.2,195,0.9
2018,1,1,7,30,-17.5,1.26,0.01,0.63,0,0,0,0,0,-22.6,0,0,0,0,0.356,64.33,159.97,0.91,0.8,759,0.30000000000000004,198,1
2018,1,1,8,0,-17.3,1.26,0.01,0.63,0,0,0,0,0,-23.400000000000002,0,0,0,0,0.354,58.82,158.72,0.91,0.8,759,0.30000000000000004,202,1
2018,1,1,8,30,-17.3,1.26,0.01,0.63,0,0,0,0,0,-23.400000000000002,0,0,0,0,0.353,58.82,155.89000000000001,0.91,0.8,759,0.30000000000000004,205,1
2018,1,1,9,0,-17.2,1.25,0.011,0.63,0,0,0,0,0,-24.200000000000003,0,0,0,0,0.352,54.54,151.97,0.92,0.8,759,0.30000000000000004,208,1.1
2018,1,1,9,30,-17.400000000000002,1.25,0.011,0.63,0,0,0,0,1,-24.200000000000003,0,0,0,0,0.35100000000000003,55.46,147.36,0.92,0.8,759,0.30000000000000004,212,1.1
2018,1,1,10,0,-17.5,1.23,0.013000000000000001,0.63,0,0,0,0,4,-24.900000000000002,0,0,0,0,0.35000000000000003,52.65,142.33,0.92,0.8,759,0.30000000000000004,215,1.1
