Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1454957,-,-,-,43,-110.39,0,2469,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,10,30,-17.7,1.23,0.013000000000000001,0.63,0,0,0,0,4,-24.900000000000002,0,0,0,0,0.34900000000000003,53.550000000000004,137.06,0.92,0.8,759,0.30000000000000004,219,1.2000000000000002
2018,1,1,11,0,-17.900000000000002,1.21,0.013000000000000001,0.63,0,0,0,0,4,-25.400000000000002,0,0,0,0,0.34900000000000003,52.1,131.66,0.92,0.8,758,0.30000000000000004,223,1.3
2018,1,1,11,30,-18.1,1.21,0.013000000000000001,0.63,0,0,0,0,4,-25.400000000000002,0,0,0,0,0.34800000000000003,52.99,126.19,0.92,0.8,758,0.30000000000000004,225,1.3
2018,1,1,12,0,-18.400000000000002,1.2,0.012,0.63,0,0,0,0,4,-25.700000000000003,0,0,0,0,0.34800000000000003,52.85,120.71000000000001,0.92,0.8,758,0.30000000000000004,226,1.3
2018,1,1,12,30,-18.6,1.2,0.012,0.63,0,0,0,0,7,-25.700000000000003,0,0,0,0,0.34800000000000003,53.76,115.26,0.92,0.8,758,0.30000000000000004,227,1.3
2018,1,1,13,0,-18.8,1.18,0.012,0.63,0,0,0,0,7,-25.8,0,0,0,0,0.34800000000000003,53.870000000000005,109.87,0.91,0.8,758,0.30000000000000004,227,1.3
2018,1,1,13,30,-19,1.18,0.012,0.63,0,0,0,0,7,-25.8,0,0,0,0,0.34800000000000003,54.800000000000004,104.59,0.92,0.8,758,0.30000000000000004,229,1.3
2018,1,1,14,0,-19.200000000000003,1.16,0.012,0.63,0,0,0,0,0,-25.6,0,0,0,0,0.34800000000000003,56.82,99.45,0.92,0.8,758,0.30000000000000004,230,1.3
2018,1,1,14,30,-19.3,1.16,0.012,0.63,0,0,0,0,1,-25.6,0,0,0,0,0.34800000000000003,57.31,94.49,0.92,0.8,758,0.30000000000000004,235,1.3
2018,1,1,15,0,-19.5,1.1300000000000001,0.012,0.63,0,0,0,7,4,-24.700000000000003,0,0,7,0,0.34800000000000003,63.550000000000004,89.37,0.92,0.8,758,0.30000000000000004,239,1.3
2018,1,1,15,30,-18.5,1.1300000000000001,0.012,0.63,22,595,72,7,7,-24.700000000000003,42,3,7,43,0.34800000000000003,58.34,85.12,0.91,0.8,758,0.30000000000000004,247,1.1
2018,1,1,16,0,-17.5,1.12,0.012,0.63,31,750,148,0,1,-20.900000000000002,31,750,0,148,0.34800000000000003,74.55,81.01,0.91,0.8,758,0.30000000000000004,255,0.9
2018,1,1,16,30,-14.9,1.12,0.012,0.63,37,841,223,0,0,-20.900000000000002,37,841,0,223,0.34800000000000003,60.01,77.24,0.91,0.8,758,0.30000000000000004,258,0.8
2018,1,1,17,0,-12.3,1.1,0.011,0.63,41,902,291,0,0,-14,41,902,0,291,0.34800000000000003,86.87,73.9,0.91,0.8,758,0.30000000000000004,262,0.7000000000000001
2018,1,1,17,30,-10.700000000000001,1.1,0.011,0.63,45,940,351,0,0,-14,45,940,0,351,0.34800000000000003,76.43,71.05,0.91,0.8,758,0.30000000000000004,263,0.7000000000000001
2018,1,1,18,0,-9.1,1.02,0.013000000000000001,0.63,50,962,398,0,0,-10.3,50,962,0,398,0.34700000000000003,90.97,68.78,0.91,0.8,758,0.30000000000000004,264,0.8
2018,1,1,18,30,-8.200000000000001,1.02,0.013000000000000001,0.63,52,978,432,0,0,-10.3,52,978,0,432,0.34700000000000003,84.8,67.14,0.91,0.8,758,0.30000000000000004,268,1
2018,1,1,19,0,-7.300000000000001,1.02,0.014,0.63,55,985,452,0,0,-8.3,55,985,0,452,0.34700000000000003,92.68,66.18,0.91,0.8,758,0.30000000000000004,271,1.1
2018,1,1,19,30,-7,1.02,0.014,0.63,55,987,457,0,0,-8.3,55,987,0,457,0.34700000000000003,90.56,65.93,0.91,0.8,758,0.30000000000000004,273,1.1
2018,1,1,20,0,-6.7,1.07,0.014,0.63,54,971,443,0,0,-7.6000000000000005,54,971,0,443,0.34600000000000003,93.13,66.4,0.91,0.8,758,0.4,276,1.2000000000000002
2018,1,1,20,30,-6.800000000000001,1.07,0.014,0.63,53,972,423,0,0,-7.6000000000000005,53,972,0,423,0.34600000000000003,93.85000000000001,67.58,0.91,0.8,758,0.30000000000000004,276,1.1
2018,1,1,21,0,-6.800000000000001,1.1300000000000001,0.015,0.63,51,951,386,0,0,-7.7,51,951,0,386,0.34500000000000003,93.17,69.42,0.91,0.8,758,0.30000000000000004,277,1.1
2018,1,1,21,30,-7.2,1.1300000000000001,0.015,0.63,48,922,335,0,0,-7.7,48,922,0,335,0.34500000000000003,96.08,71.88,0.92,0.8,758,0.30000000000000004,276,1
2018,1,1,22,0,-7.5,1.16,0.017,0.63,45,873,272,0,0,-8.4,45,873,0,272,0.34500000000000003,93.21000000000001,74.88,0.92,0.8,758,0.30000000000000004,275,0.8
2018,1,1,22,30,-8.6,1.16,0.017,0.63,39,822,204,7,4,-8.6,71,0,7,71,0.34600000000000003,100,78.37,0.92,0.8,758,0.2,275,0.7000000000000001
2018,1,1,23,0,-9.700000000000001,1.16,0.019,0.63,31,706,127,7,4,-10.700000000000001,39,0,7,39,0.34700000000000003,92.72,82.25,0.92,0.8,758,0.2,274,0.6000000000000001
2018,1,1,23,30,-11.5,1.16,0.019,0.63,20,511,52,7,4,-11.5,19,0,7,19,0.34900000000000003,100,86.44,0.93,0.8,758,0.2,281,0.5
2018,1,2,0,0,-13.4,1.16,0.02,0.63,0,0,0,0,1,-14.5,0,0,0,0,0.35100000000000003,91.13,91.19,0.93,0.8,758,0.1,287,0.5
2018,1,2,0,30,-14.700000000000001,1.16,0.02,0.63,0,0,0,0,1,-14.700000000000001,0,0,0,0,0.353,100,96.01,0.93,0.8,759,0.1,291,0.5
2018,1,2,1,0,-16.1,1.16,0.019,0.63,0,0,0,0,0,-17.3,0,0,0,0,0.354,90.61,101.03,0.93,0.8,759,0.1,296,0.6000000000000001
2018,1,2,1,30,-16.8,1.16,0.019,0.63,0,0,0,0,1,-17.3,0,0,0,0,0.355,96.07000000000001,106.22,0.92,0.8,759,0.1,293,0.7000000000000001
2018,1,2,2,0,-17.6,1.16,0.018000000000000002,0.63,0,0,0,0,0,-18.7,0,0,0,0,0.356,91.46000000000001,111.53,0.92,0.8,759,0.1,291,0.8
2018,1,2,2,30,-18,1.16,0.018000000000000002,0.63,0,0,0,0,0,-18.7,0,0,0,0,0.357,94.61,116.94,0.92,0.8,759,0.1,287,0.9
2018,1,2,3,0,-18.400000000000002,1.1300000000000001,0.017,0.63,0,0,0,0,0,-19,0,0,0,0,0.357,94.63,122.4,0.92,0.8,759,0.1,284,1.1
2018,1,2,3,30,-18.8,1.1300000000000001,0.017,0.63,0,0,0,0,1,-19,0,0,0,0,0.358,98.04,127.88000000000001,0.92,0.8,760,0.1,285,1.1
2018,1,2,4,0,-19.200000000000003,1.12,0.015,0.63,0,0,0,0,1,-19.8,0,0,0,0,0.359,95.04,133.33,0.91,0.8,760,0.1,287,1.1
2018,1,2,4,30,-19.400000000000002,1.12,0.015,0.63,0,0,0,0,1,-19.8,0,0,0,0,0.36,96.69,138.70000000000002,0.91,0.8,760,0.1,290,1.1
2018,1,2,5,0,-19.700000000000003,1.11,0.014,0.63,0,0,0,0,1,-20.200000000000003,0,0,0,0,0.361,95.53,143.9,0.91,0.8,760,0.1,293,1.2000000000000002
2018,1,2,5,30,-19.8,1.11,0.014,0.63,0,0,0,0,0,-20.200000000000003,0,0,0,0,0.362,96.36,148.81,0.91,0.8,760,0.1,299,1.1
2018,1,2,6,0,-20,1.11,0.013000000000000001,0.63,0,0,0,0,1,-20.700000000000003,0,0,0,0,0.362,94.51,153.24,0.91,0.8,760,0.1,304,1
2018,1,2,6,30,-20.200000000000003,1.11,0.013000000000000001,0.63,0,0,0,0,1,-20.700000000000003,0,0,0,0,0.362,96.16,156.86,0.9,0.8,760,0.1,317,1
2018,1,2,7,0,-20.5,1.11,0.013000000000000001,0.63,0,0,0,0,1,-21.400000000000002,0,0,0,0,0.362,92.88,159.23,0.9,0.8,760,0.1,329,0.9
2018,1,2,7,30,-20.8,1.11,0.013000000000000001,0.63,0,0,0,0,8,-21.400000000000002,0,0,0,0,0.361,95.33,159.89000000000001,0.9,0.8,760,0.1,173,0.8
2018,1,2,8,0,-21,1.11,0.012,0.63,0,0,0,0,1,-22.1,0,0,0,0,0.361,90.55,158.67000000000002,0.9,0.8,760,0.1,16,0.8
2018,1,2,8,30,-21.3,1.11,0.012,0.63,0,0,0,0,1,-22.1,0,0,0,0,0.36,93.07000000000001,155.87,0.9,0.8,761,0.1,29,0.9
2018,1,2,9,0,-21.6,1.11,0.012,0.63,0,0,0,0,0,-23.1,0,0,0,0,0.36,87.71000000000001,151.97,0.9,0.8,761,0.1,43,0.9
2018,1,2,9,30,-21.700000000000003,1.11,0.012,0.63,0,0,0,0,1,-23.1,0,0,0,0,0.36,88.48,147.37,0.9,0.8,761,0.1,46,1
2018,1,2,10,0,-21.700000000000003,1.11,0.011,0.63,0,0,0,0,1,-24,0,0,0,0,0.36,81.33,142.36,0.9,0.8,761,0.1,48,1
2018,1,2,10,30,-21.700000000000003,1.11,0.011,0.63,0,0,0,0,7,-24,0,0,0,0,0.36,81.33,137.09,0.9,0.8,761,0.1,48,1
2018,1,2,11,0,-21.6,1.11,0.01,0.63,0,0,0,0,0,-24.900000000000002,0,0,0,0,0.36,74.59,131.69,0.9,0.8,761,0,48,1
2018,1,2,11,30,-21.400000000000002,1.11,0.01,0.63,0,0,0,0,1,-24.900000000000002,0,0,0,0,0.36,73.39,126.22,0.89,0.8,762,0,46,0.9
2018,1,2,12,0,-21.3,1.1,0.01,0.63,0,0,0,0,1,-25.6,0,0,0,0,0.36,67.94,120.74000000000001,0.89,0.8,762,0,44,0.9
2018,1,2,12,30,-21.1,1.1,0.01,0.63,0,0,0,0,0,-25.6,0,0,0,0,0.36,66.77,115.29,0.88,0.8,762,0,34,0.7000000000000001
2018,1,2,13,0,-20.900000000000002,1.09,0.01,0.63,0,0,0,0,0,-26.3,0,0,0,0,0.359,61.65,109.9,0.88,0.8,762,0,23,0.6000000000000001
2018,1,2,13,30,-20.900000000000002,1.09,0.01,0.63,0,0,0,0,0,-26.3,0,0,0,0,0.359,61.65,104.62,0.87,0.8,762,0,182,0.7000000000000001
2018,1,2,14,0,-20.900000000000002,1.08,0.01,0.63,0,0,0,0,1,-27.1,0,0,0,0,0.359,57.410000000000004,99.47,0.87,0.8,762,0,341,0.7000000000000001
2018,1,2,14,30,-21.1,1.08,0.01,0.63,0,0,0,0,8,-27.1,0,0,0,0,0.36,58.5,94.5,0.87,0.8,763,0,339,0.9
2018,1,2,15,0,-21.3,1.07,0.01,0.63,0,0,0,0,1,-28,0,0,0,0,0.36,54.92,89.37,0.87,0.8,763,0,337,1
2018,1,2,15,30,-20.5,1.07,0.01,0.63,22,755,86,0,1,-28,22,755,0,86,0.361,51.22,85.11,0.87,0.8,763,0,337,1
2018,1,2,16,0,-19.700000000000003,1.07,0.01,0.63,29,797,154,7,8,-26.6,74,3,7,74,0.361,54.24,80.99,0.87,0.8,764,0.1,337,1.1
2018,1,2,16,30,-17.5,1.07,0.01,0.63,36,886,232,0,0,-26.6,36,886,0,232,0.359,44.96,77.22,0.87,0.8,764,0.1,331,0.9
2018,1,2,17,0,-15.3,1.08,0.01,0.63,40,944,303,0,0,-21.3,40,944,0,303,0.358,60.34,73.86,0.87,0.8,764,0.1,324,0.7000000000000001
2018,1,2,17,30,-13.3,1.08,0.01,0.63,44,981,364,0,0,-21.3,44,981,0,364,0.356,51.21,71.01,0.88,0.8,764,0.1,316,0.6000000000000001
2018,1,2,18,0,-11.200000000000001,0.88,0.011,0.63,49,1004,413,0,0,-14.200000000000001,49,1004,0,413,0.353,78.43,68.73,0.88,0.8,764,0.1,309,0.4
2018,1,2,18,30,-10.4,0.88,0.011,0.63,51,1020,448,0,0,-14.200000000000001,51,1020,0,448,0.352,73.5,67.07000000000001,0.89,0.8,763,0.1,304,0.4
2018,1,2,19,0,-9.600000000000001,0.87,0.012,0.63,53,1027,469,0,0,-11.700000000000001,53,1027,0,469,0.35000000000000003,84.8,66.1,0.89,0.8,763,0.1,300,0.4
2018,1,2,19,30,-9.1,0.87,0.012,0.63,53,1029,475,0,0,-11.700000000000001,53,1029,0,475,0.34900000000000003,81.54,65.84,0.89,0.8,763,0.1,298,0.5
2018,1,2,20,0,-8.6,0.88,0.011,0.63,52,1027,464,0,0,-10.200000000000001,52,1027,0,464,0.34800000000000003,87.93,66.3,0.89,0.8,763,0.1,297,0.5
2018,1,2,20,30,-8.4,0.88,0.011,0.63,50,1017,440,0,0,-10.200000000000001,50,1017,0,440,0.34700000000000003,86.57000000000001,67.47,0.89,0.8,763,0.1,297,0.5
2018,1,2,21,0,-8.200000000000001,0.84,0.012,0.63,49,996,401,0,0,-9.600000000000001,49,996,0,401,0.34600000000000003,89.56,69.3,0.89,0.8,763,0.1,297,0.5
2018,1,2,21,30,-8.6,0.84,0.012,0.63,46,967,349,0,0,-9.600000000000001,46,967,0,349,0.34600000000000003,92.39,71.75,0.89,0.8,763,0.1,300,0.4
2018,1,2,22,0,-8.9,0.89,0.012,0.63,42,925,285,0,0,-10.4,42,925,0,285,0.34500000000000003,88.82000000000001,74.75,0.89,0.8,763,0.1,303,0.4
2018,1,2,22,30,-10,0.89,0.012,0.63,36,860,212,0,1,-10.4,36,860,0,212,0.34500000000000003,96.84,78.23,0.89,0.8,763,0.1,315,0.4
2018,1,2,23,0,-11,0.9400000000000001,0.011,0.63,28,734,129,0,1,-14.200000000000001,28,734,0,129,0.34500000000000003,77.14,82.12,0.89,0.8,763,0.2,328,0.5
2018,1,2,23,30,-12,0.9400000000000001,0.011,0.63,18,550,54,0,1,-14.200000000000001,18,550,0,54,0.34500000000000003,83.57000000000001,86.31,0.89,0.8,763,0.2,178,0.6000000000000001
2018,1,3,0,0,-13,1.01,0.01,0.63,0,0,0,0,0,-18.2,0,0,0,0,0.34400000000000003,64.98,91.05,0.89,0.8,763,0.2,28,0.7000000000000001
2018,1,3,0,30,-13.100000000000001,1.01,0.01,0.63,0,0,0,0,0,-18.2,0,0,0,0,0.343,65.51,95.87,0.89,0.8,763,0.2,41,0.8
2018,1,3,1,0,-13.200000000000001,1.08,0.01,0.63,0,0,0,0,0,-19.900000000000002,0,0,0,0,0.342,57.120000000000005,100.89,0.89,0.8,763,0.2,55,0.9
2018,1,3,1,30,-12.9,1.08,0.01,0.63,0,0,0,0,0,-19.900000000000002,0,0,0,0,0.341,55.74,106.08,0.89,0.8,763,0.2,62,0.8
2018,1,3,2,0,-12.700000000000001,1.12,0.01,0.63,0,0,0,0,0,-20,0,0,0,0,0.34,54.27,111.39,0.88,0.8,763,0.2,69,0.8
2018,1,3,2,30,-12.3,1.12,0.01,0.63,0,0,0,0,0,-20,0,0,0,0,0.338,52.54,116.8,0.88,0.8,763,0.2,71,0.7000000000000001
2018,1,3,3,0,-11.9,1.1300000000000001,0.01,0.63,0,0,0,0,0,-19.3,0,0,0,0,0.337,54.230000000000004,122.26,0.88,0.8,763,0.2,74,0.7000000000000001
2018,1,3,3,30,-11.5,1.1300000000000001,0.01,0.63,0,0,0,0,0,-19.3,0,0,0,0,0.336,52.52,127.74000000000001,0.89,0.8,763,0.30000000000000004,73,0.5
2018,1,3,4,0,-11.100000000000001,1.1400000000000001,0.01,0.63,0,0,0,0,0,-18.3,0,0,0,0,0.335,55.15,133.19,0.89,0.8,763,0.30000000000000004,71,0.30000000000000004
2018,1,3,4,30,-11,1.1400000000000001,0.01,0.63,0,0,0,0,0,-18.3,0,0,0,0,0.334,54.71,138.56,0.89,0.8,763,0.30000000000000004,167,0.4
2018,1,3,5,0,-10.9,1.1400000000000001,0.01,0.63,0,0,0,0,0,-17.7,0,0,0,0,0.333,57.24,143.76,0.89,0.8,763,0.30000000000000004,262,0.4
2018,1,3,5,30,-10.9,1.1400000000000001,0.01,0.63,0,0,0,0,0,-17.7,0,0,0,0,0.332,57.24,148.67000000000002,0.89,0.8,763,0.30000000000000004,261,0.5
2018,1,3,6,0,-11,1.1500000000000001,0.01,0.63,0,0,0,0,0,-17.5,0,0,0,0,0.331,58.980000000000004,153.1,0.89,0.8,763,0.30000000000000004,260,0.6000000000000001
2018,1,3,6,30,-11.100000000000001,1.1500000000000001,0.01,0.63,0,0,0,0,0,-17.5,0,0,0,0,0.33,59.45,156.72,0.89,0.8,763,0.30000000000000004,257,0.6000000000000001
2018,1,3,7,0,-11.100000000000001,1.16,0.01,0.63,0,0,0,0,0,-17.3,0,0,0,0,0.329,60.31,159.11,0.89,0.8,763,0.30000000000000004,255,0.6000000000000001
2018,1,3,7,30,-11.100000000000001,1.16,0.01,0.63,0,0,0,0,0,-17.3,0,0,0,0,0.327,60.31,159.8,0.89,0.8,763,0.30000000000000004,237,0.5
2018,1,3,8,0,-11.100000000000001,1.18,0.01,0.63,0,0,0,0,0,-17,0,0,0,0,0.326,61.97,158.61,0.89,0.8,762,0.30000000000000004,220,0.4
2018,1,3,8,30,-11.100000000000001,1.18,0.01,0.63,0,0,0,0,0,-17,0,0,0,0,0.325,61.97,155.84,0.89,0.8,762,0.30000000000000004,189,0.4
2018,1,3,9,0,-11.200000000000001,1.19,0.01,0.63,0,0,0,0,0,-16.3,0,0,0,0,0.324,65.76,151.96,0.89,0.8,762,0.30000000000000004,159,0.5
2018,1,3,9,30,-11.3,1.19,0.01,0.63,0,0,0,0,0,-16.3,0,0,0,0,0.323,66.28,147.38,0.89,0.8,762,0.30000000000000004,158,0.6000000000000001
2018,1,3,10,0,-11.3,1.19,0.01,0.63,0,0,0,0,0,-15.600000000000001,0,0,0,0,0.322,70.25,142.37,0.9,0.8,762,0.30000000000000004,156,0.6000000000000001
2018,1,3,10,30,-11.4,1.19,0.01,0.63,0,0,0,0,0,-15.600000000000001,0,0,0,0,0.321,70.82000000000001,137.11,0.9,0.8,762,0.30000000000000004,158,0.7000000000000001
2018,1,3,11,0,-11.600000000000001,1.18,0.011,0.63,0,0,0,0,0,-15.3,0,0,0,0,0.319,74.04,131.71,0.9,0.8,762,0.30000000000000004,159,0.7000000000000001
2018,1,3,11,30,-11.700000000000001,1.18,0.011,0.63,0,0,0,0,0,-15.3,0,0,0,0,0.318,74.63,126.25,0.91,0.8,762,0.30000000000000004,166,0.7000000000000001
2018,1,3,12,0,-11.8,1.17,0.012,0.63,0,0,0,0,0,-15.4,0,0,0,0,0.317,74.38,120.76,0.91,0.8,762,0.30000000000000004,173,0.7000000000000001
2018,1,3,12,30,-12,1.17,0.012,0.63,0,0,0,0,7,-15.4,0,0,0,0,0.315,75.59,115.31,0.92,0.8,762,0.30000000000000004,180,0.8
2018,1,3,13,0,-12.200000000000001,1.16,0.013000000000000001,0.63,0,0,0,0,7,-16,0,0,0,0,0.314,73.21000000000001,109.92,0.92,0.8,762,0.30000000000000004,187,0.9
2018,1,3,13,30,-12.100000000000001,1.16,0.013000000000000001,0.63,0,0,0,0,7,-16,0,0,0,0,0.312,72.53,104.64,0.93,0.8,761,0.30000000000000004,187,0.9
2018,1,3,14,0,-12,1.16,0.015,0.63,0,0,0,0,7,-16.8,0,0,0,0,0.311,67.73,99.48,0.9400000000000001,0.8,761,0.4,188,0.9
2018,1,3,14,30,-11.600000000000001,1.16,0.015,0.63,0,0,0,0,7,-16.8,0,0,0,0,0.309,65.6,94.51,0.93,0.8,761,0.4,184,0.9
2018,1,3,15,0,-11.3,1.18,0.015,0.63,0,0,0,7,7,-17.400000000000002,0,0,7,0,0.308,60.67,89.38,0.93,0.8,761,0.4,180,0.9
2018,1,3,15,30,-10.5,1.18,0.015,0.63,23,571,72,7,7,-17.400000000000002,30,0,7,30,0.306,56.93,85.11,0.93,0.8,761,0.4,179,0.9
2018,1,3,16,0,-9.8,1.21,0.013000000000000001,0.63,32,737,147,7,7,-16.8,74,5,7,75,0.305,56.79,80.98,0.93,0.8,761,0.4,178,0.8
2018,1,3,16,30,-8.5,1.21,0.013000000000000001,0.63,39,829,222,7,7,-16.8,116,11,7,118,0.304,51.29,77.19,0.93,0.8,761,0.4,180,0.6000000000000001
2018,1,3,17,0,-7.1000000000000005,1.22,0.012,0.63,43,890,291,0,0,-11.5,43,890,0,291,0.303,70.8,73.83,0.92,0.8,761,0.4,183,0.30000000000000004
2018,1,3,17,30,-5.9,1.22,0.012,0.63,47,930,350,0,1,-11.5,47,930,0,350,0.302,64.5,70.96000000000001,0.92,0.8,760,0.4,193,0.30000000000000004
2018,1,3,18,0,-4.7,1.23,0.012,0.63,49,945,393,0,0,-7.1000000000000005,49,945,0,393,0.301,83.54,68.66,0.92,0.8,760,0.5,204,0.30000000000000004
2018,1,3,18,30,-4.3,1.23,0.012,0.63,51,962,427,0,0,-7.1000000000000005,51,962,0,427,0.301,81.06,67,0.92,0.8,760,0.5,209,0.30000000000000004
2018,1,3,19,0,-3.9000000000000004,1.24,0.013000000000000001,0.63,54,969,448,0,0,-5.4,54,969,0,448,0.3,89.28,66.01,0.92,0.8,759,0.5,214,0.30000000000000004
